position,ct
engineer ii-system allocation & verification (663538) - security clearance required,1
engineer senior - electrical system integration & test (663756) - security clearance required,1
engineer i-electrical system integration & test (663878),1
senior structural engineer - electronics (662505),1
research engineer: ui / frontend developer,1
senior spacecraft structures design engineer (661398) - current security clearance required,1
electrical engineer ii - analog and power supply design (662638),1
senior electrical engineer-spacecraft command & data handling (663675) - security clearance required,1
senior system safety engineer (663665),1
principal engineer-mission system integration (664158),1
project engineer i-manufacturing (663880),1
manufacturing principal planner (663891),1
supplier quality assurance engineer i (663736),1
senior engineer-spacecraft bus lead (662952) - security clearance required,1
engineer principal-electrical power systems (662772) - security clearance required,1
project engineer ii - electronic systems integration & test (659059) - security clearance required,1
cpa - financial reporting research analyst,1
sr. staff data software engineer,1
windows programmer / software engineer - entry/ intermediate -elsys - 7333,1
manager-thermal vacuum & climatics (663040),1
receiving inspector i-procured inspection (664125),1
technician iii-test - program operations (663408),1
manufacturing chemist - (2nd shift),1
industrial operations manager (663748),1
senior technician-test (661961),1
staff consultant - optical (660988) - current security clearance required,1
manufacturing planner (663573),1
electronic technician iii (663868),1
material planner (664189),1
staff consultant - optical (661858),1
sr deep learning software engineer,1
lasp mo&ds division director,1
embedded software engineer i (664188),1
technician ii-test (661960),1
property administrator ii (663995),1
"experiments and modelling analyst, google technical services",1
new business development director-innovative solutions (664191),1
sem / metallurgical lab engineer i (663349),1
technical specialist associate-test - program operations (663435),1
cyber security professional i (664193),1
manufacturing process center technician iv (663787),1
rf communications system staff consultant (664242) - security clearance required,1
optical technical specialist i (663388),1
supply chain management lead (663937),1
algorithm & analysis software engineer ii (664172),1
technical specialist i-test - program operations (663438),1
associate engineer - embedded software (664075),1
engineer i-software quality assurance (663959),1
engineer i - detector engineering (663760),1
qc inspector iv-quality assurance (663357),1
"clinical scientist, endpoints and outcomes",1
sr. business analyst (insights & analytics),1
sr. director of data science,1
software engineer (ms – ng) for 2018,1
software engineer (bs - ng) for 2018,1
software systems engineer,1
"director, product security - austin, tx",1
qa lead,1
data science analyst - strategic data solutions,1
senior - data scientist,1
data scientist-isd,1
data scientist - tx,1
data scientist - data product development (phd),1
software engineer (qa),1
isv technology director - ai and ml - 67511,1
"associate director, revenue cycle management",1
cires/swpc space weather scientist *closes 7/31/2018,1
advanced analytics consultant,1
data analyst - public education data analysis,1
"sr. engineering manager, applied machine learning",1
data mining scientist,1
data scientist bl lab,1
"junior data scientist, dell hr - diversity & inclusion",1
"data scientist, austin",1
"senior staff design engineer (machine learning, 52162)",1
software engineer - ai implementation,1
water resources engineer 5,1
"lead architect, machine learning (42821)",1
sr. software/ platform engineer,1
"manager, polymer process development (research & development)",1
cognitive software engineer,1
public health policy research analyst / technical writer,1
sr software eng - black locus,1
engineering scientist - senior software defined radio receiver software developer,1
senior technical specialist-test - program operations (663446) security clearance required,1
principal engineer-space vehicle lead (663998),1
cyber security professional ii (661903) - security clearance required,1
